"","colnames.counts_trimmed.","row.names.stations."
"1","Raw.Site","I.A.T"
"2","I.A","I.A.W"
"3","I.A.1","I.A.LR"
"4","I.A.2","I.A.Live"
"5","I.A.3","I.A.G1"
"6","I.A.4","I.A.G2"
"7","I.A.5","I.A.G3"
"8","I.A.6","I.B.T"
"9","I.B","I.B.W"
"10","I.B.1","I.B.LR"
"11","I.B.2","I.B.Live"
"12","I.B.3","I.B.G1"
"13","I.B.4","I.B.G2"
"14","I.B.5","I.B.G3"
"15","I.B.6","I.C.T"
"16","I.C","I.C.W"
"17","I.C.1","I.C.LR"
"18","I.C.2","I.C.Live"
"19","I.C.3","I.C.G1"
"20","I.C.4","I.C.G2"
"21","I.C.5","I.C.G3"
"22","I.C.6","I.D.T"
"23","I.D","I.D.W"
"24","I.D.1","I.D.LR"
"25","I.D.2","I.D.Live"
"26","I.D.3","I.D.G1"
"27","I.D.4","I.D.G2"
"28","I.D.5","I.D.G3"
"29","I.D.6","II.A.T"
"30","II.A","II.A.W"
"31","II.A.1","II.A.LR"
"32","II.A.2","II.A.Live"
"33","II.A.3","II.A.G1"
"34","II.A.4","II.A.G2"
"35","II.A.5","II.A.G3"
"36","II.A.6","II.B.T"
"37","II.B","II.B.W"
"38","II.B.1","II.B.LR"
"39","II.B.2","II.B.Live"
"40","II.B.3","II.B.G1"
"41","II.B.4","II.B.G2"
"42","II.B.5","II.B.G3"
"43","II.B.6","II.C.T"
"44","II.C","II.C.W"
"45","II.C.1","II.C.LR"
"46","II.C.2","II.C.Live"
"47","II.C.3","II.C.G1"
"48","II.C.4","II.C.G2"
"49","II.C.5","II.C.G3"
"50","II.C.6","II.D.T"
"51","II.D","II.D.W"
"52","II.D.1","II.D.LR"
"53","II.D.2","II.D.Live"
"54","II.D.3","II.D.G1"
"55","II.D.4","II.D.G2"
"56","II.D.5","II.D.G3"
"57","II.D.6","II.Z.T"
"58","II.Z","II.Z.W"
"59","II.Z.1","II.Z.LR"
"60","II.Z.2","II.Z.Live"
"61","II.Z.3","II.Z.G1"
"62","II.Z.4","II.Z.G2"
"63","II.Z.5","II.Z.G3"
"64","II.Z.6","III.A.T"
"65","III.A","III.A.W"
"66","III.A.1","III.A.LR"
"67","III.A.2","III.A.Live"
"68","III.A.3","III.A.G1"
"69","III.A.4","III.A.G2"
"70","III.A.5","III.A.G3"
"71","III.A.6","III.B.T"
"72","III.B","III.B.W"
"73","III.B.1","III.B.LR"
"74","III.B.2","III.B.Live"
"75","III.B.3","III.B.G1"
"76","III.B.4","III.B.G2"
"77","III.B.5","III.B.G3"
"78","III.B.6","III.C.T"
"79","III.C","III.C.W"
"80","III.C.1","III.C.LR"
"81","III.C.2","III.C.Live"
"82","III.C.3","III.C.G1"
"83","III.C.4","III.C.G2"
"84","III.C.5","III.C.G3"
"85","III.C.6","III.D.T"
"86","III.D","III.D.W"
"87","III.D.1","III.D.LR"
"88","III.D.2","III.D.Live"
"89","III.D.3","III.D.G1"
"90","III.D.4","III.D.G2"
"91","III.D.5","III.D.G3"
"92","III.D.6","III.E.T"
"93","III.E","III.E.W"
"94","III.E.1","III.E.LR"
"95","III.E.2","III.E.Live"
"96","III.E.3","III.E.G1"
"97","III.E.4","III.E.G2"
"98","III.E.5","III.E.G3"
"99","III.E.6","III.F.T"
"100","III.F","III.F.W"
"101","III.F.1","III.F.LR"
"102","III.F.2","III.F.Live"
"103","III.F.3","III.F.G1"
"104","III.F.4","III.F.G2"
"105","III.F.5","III.F.G3"
"106","III.F.6","III.G.T"
"107","III.G","III.G.W"
"108","III.G.1","III.G.LR"
"109","III.G.2","III.G.Live"
"110","III.G.3","III.G.G1"
"111","III.G.4","III.G.G2"
"112","III.G.5","III.G.G3"
"113","III.G.6","III.H.T"
"114","III.H","III.H.W"
"115","III.H.1","III.H.LR"
"116","III.H.2","III.H.Live"
"117","III.H.3","III.H.G1"
"118","III.H.4","III.H.G2"
"119","III.H.5","III.H.G3"
"120","III.H.6","III.H2.T"
"121","III.H2","III.H2.W"
"122","III.H2.1","III.H2.LR"
"123","III.H2.2","III.H2.Live"
"124","III.H2.3","III.H2.G1"
"125","III.H2.4","III.H2.G2"
"126","III.H2.5","III.H2.G3"
"127","III.H2.6","III.I.1.2.T"
