"","Depth(m)","Latitude(DDM)","Longitude(DDM)","Lat DD","Long DD"
"I.A.T","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.A.W","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.A.LR","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.A.Live","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.A.G1","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.A.G2","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.A.G3","4","25°01.102N","81°17.128W",25.01836667,-81.28546667
"I.B.T","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.B.W","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.B.LR","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.B.Live","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.B.G1","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.B.G2","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.B.G3","8","24°59.977N","81°30.042W",24.99961667,-81.5007
"I.C.T","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.C.W","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.C.LR","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.C.Live","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.C.G1","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.C.G2","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.C.G3","14","25°00.355N","81°44.681W",25.00591667,-81.74468333
"I.D.T","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"I.D.W","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"I.D.LR","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"I.D.Live","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"I.D.G1","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"I.D.G2","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"I.D.G3","20","25°00.004N","82°00.045W",25.00006667,-82.00075
"II.A.T","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.A.W","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.A.LR","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.A.Live","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.A.G1","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.A.G2","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.A.G3","9","25°07.803N","81°33.609W",25.13005,-81.56015
"II.B.T","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.B.W","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.B.LR","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.B.Live","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.B.G1","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.B.G2","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.B.G3","12","25°07.716N","81°43.306W",25.1286,-81.72176667
"II.C.T","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.C.W","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.C.LR","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.C.Live","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.C.G1","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.C.G2","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.C.G3","15.5","25°07.817N","81°50.960W",25.13028333,-81.84933333
"II.D.T","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.D.W","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.D.LR","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.D.Live","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.D.G1","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.D.G2","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.D.G3","19","25°07.814N","81°57.057W",25.13023333,-81.95095
"II.Z.T","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"II.Z.W","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"II.Z.LR","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"II.Z.Live","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"II.Z.G1","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"II.Z.G2","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"II.Z.G3","6","25°07.728N","81°22.550W",25.1288,-81.37583333
"III.A.T","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.A.W","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.A.LR","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.A.Live","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.A.G1","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.A.G2","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.A.G3","10","26°00.124N","81°56.405W",26.00206667,-81.94008333
"III.B.T","12","26°00.000N","81°59.39W",26,-81.98983333
"III.B.W","12","26°00.000N","81°59.39W",26,-81.98983333
"III.B.LR","12","26°00.000N","81°59.39W",26,-81.98983333
"III.B.Live","12","26°00.000N","81°59.39W",26,-81.98983333
"III.B.G1","12","26°00.000N","81°59.39W",26,-81.98983333
"III.B.G2","12","26°00.000N","81°59.39W",26,-81.98983333
"III.B.G3","12","26°00.000N","81°59.39W",26,-81.98983333
"III.C.T","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.C.W","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.C.LR","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.C.Live","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.C.G1","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.C.G2","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.C.G3","15","26°00.044N","82°04.761W",26.00073333,-82.07935
"III.D.T","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.D.W","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.D.LR","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.D.Live","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.D.G1","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.D.G2","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.D.G3","24","26°00.229N","82°23.501W",26.00381667,-82.39168333
"III.E.T","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.E.W","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.E.LR","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.E.Live","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.E.G1","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.E.G2","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.E.G3","33.5","26°00.111N","82°40.558W",26.00185,-82.67596667
"III.F.T","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.F.W","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.F.LR","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.F.Live","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.F.G1","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.F.G2","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.F.G3","43.5","26°00.254N","82°59.291W",26.00423333,-82.98818333
"III.G.T","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.G.W","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.G.LR","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.G.Live","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.G.G1","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.G.G2","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.G.G3","55","26°00.362N","83°15.376W",26.00603333,-83.25626667
"III.H.T","55","26°01.612N","83°16.298W",26.02686667,-83.27163333
