Sample label	Depth sed [m]	Age [ka BP]	Mark found [#]	Pollen tot [#]	Fern spores [#]	Pollen/sed [#/g]	AP [%]	Rainforest [%]	Forest/Woodland [%]	Pioneer trees [%]	Elaeguin [%]	Poac [%]
KZR23-9-10	0.095	1.419	143	266	190	23874	17.3	7.0	7.5	5.30	1.3	15.8
KZR23-39-40	0.395	1.540	255	269	196	20294	18.7	7.1	9.2	3.40	1.5	12.0
KZR23-85-86	0.855	1.727	114	263	222	27678	16.7	8.2	7.6	4.70	1.4	10.1
KZR23-125-126	1.255	1.889	235	296	388	14557	13.2	5.8	5.7	2.90	0.9	8.9
KZR23-145-146	1.455	1.970	228	260	269	12782	20.4	6.4	8.1	4.70	0.9	3.6
KZR23-165-166	1.655	2.051	223	259	257	13507	20.0	5.4	10.7	3.50	1.2	6.6
KZR23-170-171	1.705	2.071	391	252	203	19318	17.8	8.4	7.5	6.20	2.9	7.5
KZR23-194-195	1.945	2.168	940	264	184	10335	25.9	6.7	10.9	4.90	0.9	8.7
KZR23-199-200	1.995	2.188	244	264	233	11759	21.3	3.4	10.9	2.20	0.0	5.6
KZR23-231-232	2.315	2.397	1264	254	188	11670	23.1	10.2	11.8	2.90	0.9	7.2
KZR23-271-272	2.715	2.672	1572	269	284	14455	21.5	6.5	10.3	2.40	0.5	5.4
KZR23-358-359	3.585	3.270	2182	257	220	14122	19.1	5.9	10.1	2.90	0.0	6.7
KZR23-441-442	4.415	3.840	578	251	203	16140	22.7	6.8	11.5	3.70	0.4	7.3
KZR23-508-509	5.085	4.301	608	250	203	14418	22.3	6.6	8.4	4.40	0.9	10.6
KZR23-524-525	5.245	4.411	213	253	181	17589	20.7	6.9	9.2	2.10	0.5	8.8
KZR23-541-542	5.415	4.528	472	243	169	19727	22.1	6.6	11.2	3.20	0.2	7.0
KZR23-588-589	5.885	4.851	480	254	220	18912	20.5	6.3	10.1	3.40	0.6	8.4
KZR23-610-611	6.105	5.002	229	263	202	23326	26.2	5.4	15.3	3.00	0.6	9.5
KZR23-661-662	6.615	5.353	398	298	289	11317	19.1	4.9	9.5	1.70	0.3	7.2
KZR23-731-732	7.305	5.827	224	258	202	20883	24.6	6.1	12.0	4.10	0.4	8.9
KZR23-861-862	8.615	6.728	283	308	293	19171	16.8	3.7	7.5	1.80	0.7	8.5
KZR23-884-885	8.845	6.886	172	252	243	23133	18.0	3.6	7.1	1.00	0.0	9.7
KZR23-921-922	9.215	7.140	215	291	328	14582	16.6	4.5	5.5	2.10	0.6	8.1
KZR23-1201-1202	12.015	8.261	162	264	326	17149	18.6	4.7	8.1	2.00	0.7	5.3
KZR23-1561-1562	15.615	9.528	158	287	374	16218	16.2	4.5	6.8	2.30	0.9	6.7
KZR23-1641-1642	16.415	9.820	165	273	328	19412	17.0	5.7	7.0	2.20	0.3	8.0
