taxon,PC,BC,LMP,D,Ey,Eq,Ewc,G,SH
Aspidella,0,0,0,1,3,0,1,0,1
Bradgatia,0,1,0,76,226,15,14,55,10
Charnia,18,0,152,20,84,5,14,4,1
Charnia-B,0,26,58,0,0,0,0,0,0
Charniodiscus,0,0,13,0,"1,398",52,35,49,3
Dusters,0,0,4,8,612,28,35,5,0
Fractofusus,0,76,4,"1,169","1,497",71,100,0,0
Hiemalora,0,0,1,0,21,1,0,0,0
Holdfast_frond,0,0,0,0,0,0,0,22,0
Ivesheadia_ivesia,79,1,1,7,77,5,3,8,27
Lobate_Disc,0,0,0,0,142,3,10,0,0
Hapsidophyllas,0,0,0,1,1,0,2,0,0
Ostritch_feather,0,0,62,0,0,0,0,0,0
Pectinifrons,0,0,0,175,0,0,0,0,304
Spoon_frond,0,0,0,0,1,1,1,0,0
Thectardis,140,0,0,0,25,3,7,0,0
,,,,,,,,,
